all_ingredient,"1,2-propanediol(%)",100% hydrolysed pva(mg/ml),80% hydrolysed pva(mg/ml),acetamide(M),antibiotic(%),autologous plasma(%),betaine(%),bsa(%),cooh-pll(%),creatine(mM),dextran(%),dextran-40(%),dmso(%),ectoin(%),eg(%),emea-fbs(%),ethyleneglycol(%),fbs(%),ficoll 70(%),fs(%),glucose(mM),glycerol(mM),ha(%),has(%),hes(%),hes450(%),hmw-ha(%),hs(%),hsa(%),maltose(mol/L),mannitol(mM),mc(%),p1(mg/ml),p2(mg/ml),p3(mg/ml),p4(mg/ml),peg 1.5k(%),peg 1000(mg/ml),peg 10k(%),peg 1k(%),peg 20k(%),peg 400(%),peg 5000(mg/ml),peg 5k(%),peg 600(%),peg(%),pentaisomaltose(%),pl(%),polyampholyte(mg/ml),proh(%),proline(%),propylene glycol(M),pvp(%),raffinose(mM),rock inhibitor(µM),s1p(µM),sericin(%),storage protein 2(mg/ml),sucrose(mM),taurine(mM),trehalose(mM),viability,recovery,doubling time,cooling rate
0.1% methylcellulose + 10% proline + 1% ectoin,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,0.7,0.22,,slow_freeze
0.1% methylcellulose + 10% proline + 10% ectoin,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,0.68,0.48,,slow_freeze
0.1% methylcellulose + 10% proline + 10% ectoin,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,0.72,0.72,,slow_freeze
0.1% methylcellulose + 10% proline + 10% ectoin,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,0.72,0.64,,slow_freeze
0.1% methylcellulose + 10% DMSO,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.98,,slow_freeze
0.1% methylcellulose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.12,,slow_freeze
10% FCS + 5% Me2SO,,,,,,,,,,,,,5.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,slow_freeze
10% FCS + 5% Me2SO,,,,,,,,,,,,,5.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,slow_freeze
10% FCS + 10% Me2SO,,,,,,,,,,,,,10.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,slow_freeze
10% FCS + 10% Me2SO,,,,,,,,,,,,,10.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,slow_freeze
10% FCS + 10% Me2SO,,,,,,,,,,,,,10.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,multi_freeze
10% FCS + 10% Me2SO,,,,,,,,,,,,,10.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,multi_freeze
10% FCS + 10% Me2SO,,,,,,,,,,,,,10.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,rapid_freeze
10% FCS + 10% Me2SO,,,,,,,,,,,,,10.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,rapid_freeze
90% FBS + 10% DMSO,,,,,,,,,,,,,10.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.938,,,slow_freeze
90% FBS + 10% DMSO,,,,,,,,,,,,,10.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.888,,,slow_freeze
90% FBS + 10% DMSO,,,,,,,,,,,,,10.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.884,,,slow_freeze
90% FBS + 10% DMSO,,,,,,,,,,,,,10.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.931,,,slow_freeze
10% DMSO,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273,,,slow_freeze
10% DMSO,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595,,,slow_freeze
5% trehalose + 2.5% dextran,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,slow_freeze
5% trehalose + 2.5% dextran,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,slow_freeze
10% DMSO + 90% FBS,,,,,,,,,,,,,10.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze
1 M DMSO + 1 M acetamide + 3 M Propylene glycol,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,0.77,,,slow_freeze
6.5 M EG + 0.5 M Sucrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,0.5,,,slow_freeze
6.5 M EG + 10% (wt) COOH-PLL + 0.5 M Sucrose,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,0.95,,,slow_freeze
1 M DMSO + 1 M acetamide + 3 M Propylene glycol,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,0.85,,,slow_freeze
6.5 M EG + 0.5 M Sucrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,0.95,,,slow_freeze
6.5 M EG + 10% (wt) COOH-PLL + 0.5 M Sucrose,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,1.0,,,slow_freeze
1 M DMSO + 1 M acetamide + 3 M Propylene glycol,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,0.85,,,slow_freeze
6.5 M EG + 0.5 M Sucrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,0.98,,,slow_freeze
6.5 M EG + 10% (wt) COOH-PLL + 0.5 M Sucrose,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,1.0,,,slow_freeze
1 M DMSO + 1 M acetamide + 3 M Propylene glycol,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,0.85,,,slow_freeze
6.5 M EG + 0.5 M Sucrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,0.98,,,slow_freeze
6.5 M EG + 10% (wt) COOH-PLL + 0.5 M Sucrose,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,1.0,,,slow_freeze
1 M DMSO + 1 M acetamide + 3 M Propylene glycol,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,0.85,,,rapid_freeze
6.5 M EG + 0.5 M Sucrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,0.98,,,rapid_freeze
6.5 M EG + 10% (wt) COOH-PLL + 0.5 M Sucrose,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,1.0,,,rapid_freeze
50 mM Sucrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,0.05,,,slow_freeze
100 mM Sucrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,0.17,,,slow_freeze
150 mM Sucrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,0.6,,,slow_freeze
400 mM Sucrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,0.8,,,slow_freeze
50 mM Trehalose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.03,,,slow_freeze
100 mM Trehalose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.14,,,slow_freeze
150 mM Trehalose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,0.62,,,slow_freeze
400 mM Trehalose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,0.78,,,slow_freeze
50 mM Raffinose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,0.07,,,slow_freeze
100 mM Raffinose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,0.19,,,slow_freeze
150 mM Raffinose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,0.75,,,slow_freeze
400 mM Raffinose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,0.8,,,slow_freeze
10% DMSO,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,slow_freeze
10% Ethylene Glycol,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,slow_freeze
10% propylene glycol,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,slow_freeze
10% glycerol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,slow_freeze
10% Ethylene Glycol + 10 µM ROCK Inhibitor,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,0.22,,slow_freeze
2% betaine,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,slow_freeze
4% betaine,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,slow_freeze
6% betaine,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,slow_freeze
8% betaine,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,slow_freeze
10% betaine,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,slow_freeze
10% DMSO,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,3.0,slow_freeze
10% Glycerol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,3.0,slow_freeze
15% Glycerol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,3.0,slow_freeze
20% Glycerol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,3.0,slow_freeze
10% DMSO,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,3.0,slow_freeze
10% Glycerol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,3.0,slow_freeze
15% Glycerol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,3.0,slow_freeze
20% Glycerol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,3.0,slow_freeze
10% PEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,0.6,0.64,,slow_freeze
10% PEG + 3% Trehalose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,0.82,0.82,,slow_freeze
10% PEG + 3% Trehalose + 5% Dextran,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,0.94,0.96,,slow_freeze
0 mg/ml storage protein 2 + 4% DMSO,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,2.0,slow_freeze
0 mg/ml storage protein 2 + 4% DMSO,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,2.0,slow_freeze
0.1 mg/ml storage protein 2 + 4% DMSO,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.82,,2.0,slow_freeze
0.2 mg/ml storage protein 2 + 4% DMSO,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.85,,2.0,slow_freeze
0.5 mg/ml storage protein 2 + 4% DMSO,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.9,,2.0,slow_freeze
1 mg/ml storage protein 2 + 4% DMSO,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.94,,2.0,slow_freeze
2 mg/ml storage protein 2 + 4% DMSO,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.95,,2.0,slow_freeze
5 mg/ml storage protein 2 + 4% DMSO,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,0.97,,2.0,slow_freeze
10 mg/ml storage protein 2 + 4% DMSO,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,0.98,,2.0,slow_freeze
7.5% COOH-PLL,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,38.0,slow_freeze
7.5% COOH-PLL,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,38.0,slow_freeze
7.5% COOH-PLL,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,38.0,slow_freeze
7.5% COOH-PLL,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,38.0,slow_freeze
7.5% COOH-PLL,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,38.0,slow_freeze
7.5% COOH-PLL,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,38.0,slow_freeze
20% FBS + 10% DMSO,,,,,,,,,,,,,10.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.79,,slow_freeze
0.5 M trehalose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,0.99,0.28,,rapid_freeze
10% DMSO,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.68,,rapid_freeze
10% EG,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0.51,,rapid_freeze
0.5 M trehalose + 10% DMSO,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,0.99,0.48,,rapid_freeze
0.5 M trehalose + 10% EG,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,0.99,0.41,,rapid_freeze
5% DMSO + 95% EMEA-FBS,,,,,,,,,,,,,5.0,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,slow_freeze
90% autologous plasma + 10% DMSO,,,,,,90.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze
20% FBS + 10% DMSO,,,,,,,,,,,,,10.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,slow_freeze
20% FBS + 5% DMSO + 60 mM Trehalose,,,,,,,,,,,,,5.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,slow_freeze
20% FBS + 2.5% DMSO + 30 mM Trehalose,,,,,,,,,,,,,2.5,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,slow_freeze
20% FBS + 264 mM Trehalose,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0,,,,slow_freeze
5% DMSO + 20% FBS + 500 mM Trehalose,,,,,,,,,,,,,5.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,0.73,,,slow_freeze
7% DMSO + 5% HES + 2% BSA,,,,,,,,2.0,,,,,7.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,slow_freeze
5% DMSO + 4% HES + 4% FBS,,,,,,,,,,,,,5.0,,,,,4.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,slow_freeze
10% DMSO + 12% HES + 8% FBS,,,,,,,,,,,,,10.0,,,,,8.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,slow_freeze
90% FBS + 10% DMSO,,,,,,,,,,,,,10.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,slow_freeze
0.1 M Sucrose + 10% DMSO + 20% FBS,,,,,,,,,,,,,10.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,0.87,,,slow_freeze
0.1 M Sucrose + 10% DMSO + 20% FBS,,,,,,,,,,,,,10.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,0.76,,,slow_freeze
0.1 M Sucrose + 10% DMSO + 20% FBS,,,,,,,,,,,,,10.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,0.7,,,slow_freeze
0.2 M Trehalose + 10% DMSO + 20% FBS,,,,,,,,,,,,,10.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,0.82,,,slow_freeze
0.2 M Trehalose + 10% DMSO + 20% FBS,,,,,,,,,,,,,10.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,0.75,,,slow_freeze
0.2 M Trehalose + 10% DMSO + 20% FBS,,,,,,,,,,,,,10.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,0.66,,,slow_freeze
0.1 M Sucrose + 1.5 M EG + 20% FBS,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,0.8,,,slow_freeze
0.1 M Sucrose + 1.5 M EG + 20% FBS,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,0.71,,,slow_freeze
0.1 M Sucrose + 1.5 M EG + 20% FBS,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,0.65,,,slow_freeze
10% DMSO + 20% FBS,,,,,,,,,,,,,10.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,slow_freeze
10% DMSO + 20% FBS,,,,,,,,,,,,,10.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,slow_freeze
10% DMSO + 20% FBS,,,,,,,,,,,,,10.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,slow_freeze
20% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,,,,,,,,,,,,,,,20.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,,,,slow_freeze
17.5% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,,,,,,,,,,,,,,,17.5,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,,,,slow_freeze
15% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,,,,,,,,,,,,,,,15.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,,,,slow_freeze
20% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,,,,,,,,,,,,,,,20.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,0.93,,,rapid_freeze
40% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,,,,,,,,,,,,,,,40.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,0.826,,,rapid_freeze
35% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,,,,,,,,,,,,,,,35.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,0.826,,,rapid_freeze
30% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,,,,,,,,,,,,,,,30.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,0.826,,,rapid_freeze
20% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,,,,,,,,,,,,,,,20.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,,,,slow_freeze
17.5% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,,,,,,,,,,,,,,,17.5,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,,,,slow_freeze
15% ethylene glycol + 20% Ficoll 70 + 0.5 M sucrose,,,,,,,,,,,,,,,15.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,,,,slow_freeze
20% EG + 20% DMSO + 0.5 M sucrose,,,,,,,,,,,,,20.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,0.79,,,rapid_freeze
17.5% EG + 17.5% DMSO + 0.5 M sucrose,,,,,,,,,,,,,17.5,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,0.79,,,rapid_freeze
15% EG + 15% DMSO + 0.5 M sucrose,,,,,,,,,,,,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,0.79,,,rapid_freeze
7.5% DMSO,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,slow_freeze
10% FBS + 1% antibiotic,,,,,1.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze
10% FBS + 5% DMSO + 1% antibiotic,,,,,1.0,,,,,,,,5.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze
95% FBS + 5% DMSO,,,,,,,,,,,,,5.0,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze
100% FBS,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze
20% Ethylene Glycol + 20% Fetal Bovine Serum,,,,,,,,,,,,,,,20.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.843,,3.4,rapid_freeze
40% Ethylene Glycol + 18% Ficoll 70 + 0.3 M Sucrose + 20% FBS,,,,,,,,,,,,,,,40.0,,,20.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,0.843,,3.4,slow_freeze
6% Hydroxyethyl Starch + 20% DMSO,,,,,,,,,,,,,20.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze
